state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_trips_000,tourism_growth_pct,spending_per_visitor_rm,trips_per_visitor,tourism_intensity,tourism_value_growth_pct,local_prosperity_context,income_mean,income_median,expenditure_mean,gini,poverty,google_search_interest,search_interest_growth_pct,digital_interest_trend,emerging_viral_destination,opportunity_pattern,pressure_pattern,average_length_of_stay,population_000,avg_receipts_per_trip_rm,tourism_receipts_rm,domestic_visitors
Melaka,2024,19128.405,7933.20647467174,24174.131,22.9437738890255,414.734342705089,1.2637818469443742,18.274964173115503,23.216837274293,moderate_context,8280.666666666666,6708.0,5975.333333333333,0.3326666666666666,2.8000000000000003,59.66666666666666,-0.5555555555555595,stable,not_flagged,monitor,high_intensity_monitor,2.13441079422518,1046.7,328.169251447828,7933206474.67174,19128405.0
Melaka,2025,20832.201530282,8732.39649344146,26436.4441561187,8.90715420486967,419.177804167644,1.2690182608732106,19.802472937530418,10.0739848549421,not_available,,,,,,54.41666666666666,-8.798882681564246,decreasing,not_flagged,monitor,high_intensity_monitor,2.11048007597558,1052.0,330.316605435771,8732396493.44146,20832201.530282
Negeri Sembilan,2019,13303.0418435376,5071.03036849894,19414.2056502318,3.91281272360908,381.193296100347,1.4593809354710032,11.812326268458175,4.98921414600528,not_available,,,,,,48.333333333333336,-3.3333333333333286,stable,not_flagged,monitor,high_intensity_monitor,2.45685046526145,1126.2,261.20205275761,5071030368.49894,13303041.8435376
Negeri Sembilan,2020,7917.736,2232.9800948256,9567.142,-40.4817627943769,282.022549732096,1.2083178827887164,6.598113333333333,-55.9659490762116,not_available,,,,,,63.41666666666666,31.206896551724128,strongly_increasing,potential_emerging_digital_destination,monitor,no_pressure_signal,1.89511215363317,1200.0,233.400956610198,2232980094.8256,7917736.0
Negeri Sembilan,2021,5485.17,1213.38512045771,6554.829,-30.7229996049376,221.211944289368,1.1950092704510524,4.555032386646737,-45.6607283123821,not_available,,,,,,70.0,10.381077529566364,increasing,not_flagged,monitor,no_pressure_signal,1.72219303562174,1204.2,185.113161679384,1213385120.45771,5485170.0
Negeri Sembilan,2022,11490.144,3651.3406055165,14278.615,109.476533999858,317.780230214391,1.2426837296382012,9.51249606755526,200.921821436145,moderate_context,5485.285714285715,4399.0,4000.571428571429,0.3418571428571428,5.757142857142857,72.0,2.857142857142857,stable,not_flagged,positive_momentum,no_pressure_signal,2.4775740593211,1207.9,255.72092289879,3651340605.5165,11490144.0
Negeri Sembilan,2023,14959.47,4777.28125500884,17800.523,30.1939296844322,319.348296096643,1.1899166882249173,12.212809208915012,30.8363631645662,not_available,,,,,,63.66666666666666,-11.574074074074076,decreasing,not_flagged,monitor,high_intensity_monitor,2.41840105295885,1224.9,268.378701850998,4777281255.008841,14959470.0
Negeri Sembilan,2024,17784.532,5869.462129308,21816.55,18.8847733241886,330.031857420145,1.2267148778500327,14.348150060508267,22.8619755881871,moderate_context,5920.285714285715,4725.0,4370.285714285715,0.3401428571428572,5.214285714285714,56.16666666666666,-11.780104712041885,decreasing,not_flagged,monitor,high_intensity_monitor,2.25257557638478,1239.5,269.037135995746,5869462129.308,17784532.0
Negeri Sembilan,2025,19356.545,6529.26193925348,24064.3142989688,8.83921488628432,337.315463025735,1.2432133058337012,15.561174531714766,11.2412312305569,not_available,,,,,,58.083333333333336,3.4124629080118782,stable,not_flagged,positive_momentum,possible_pressure,2.29491785206345,1243.9,271.325492932631,6529261939.25348,19356545.0
Pahang,2019,18497.5783549097,7600.74634258733,22744.9498261507,2.13248398575252,410.904941001096,1.2296177039906224,11.067116402363109,2.64575118492816,not_available,,,,,,60.5,16.346153846153847,strongly_increasing,not_flagged,positive_momentum,possible_pressure,2.48526051771162,1671.4,334.172921931376,7600746342.58733,18497578.3549097
Pahang,2020,9905.002,2748.04988629641,10380.441,-46.4524392871623,277.440619022228,1.047999889348836,6.224471815496764,-63.8449993930338,not_available,,,,,,66.91666666666667,10.606060606060613,increasing,not_flagged,monitor,no_pressure_signal,1.92726887226897,1591.3,264.733443048942,2748049886.29641,9905002.0
Pahang,2021,3404.772,914.378229522129,3504.979,-65.6257313224167,268.557844555268,1.0294313393084764,2.125989384951608,-66.7262870997422,not_available,,,,,,59.333333333333336,-11.332503113325034,decreasing,not_flagged,monitor,no_pressure_signal,1.92173287260011,1601.5,260.879802567185,914378229.522129,3404772.0
Pahang,2022,13188.959,5316.78906097375,14993.999,287.366878017089,403.124239067977,1.1368599295820083,8.170079291333705,481.464965953138,moderate_context,5306.636363636364,4434.363636363636,3879.181818181818,0.2832727272727273,6.945454545454546,61.75,4.073033707865164,stable,not_flagged,positive_momentum,no_pressure_signal,2.10555957854831,1614.3,354.594465490744,5316789060.97375,13188959.0
Pahang,2023,16455.567,6733.34364809185,17632.756,24.7677470223389,409.183326718055,1.0715374316788964,10.014342137293086,26.6430465996081,not_available,,,,,,55.41666666666666,-10.25641025641026,decreasing,not_flagged,monitor,high_intensity_monitor,2.12715370546925,1643.2,381.865639613674,6733343648.09185,16455567.0
Pahang,2024,20173.876,8709.75913589491,22665.013,22.5960551830271,431.734543024598,1.123483310792631,12.096825568147748,29.3526602992134,moderate_context,5704.545454545455,4717.909090909091,4156.181818181818,0.2996363636363636,6.754545454545454,49.91666666666666,-9.92481203007519,decreasing,not_flagged,monitor,high_intensity_monitor,2.16717969419742,1667.7,384.28211516556,8709759135.89491,20173876.0
Pahang,2025,23161.166,9846.76892463924,25285.2635929909,14.8077146900278,425.141330304322,1.0917094412686692,13.812718272900764,13.054434353511,not_available,,,,,,52.25,4.674457429048419,stable,not_flagged,positive_momentum,possible_pressure,2.20889169822045,1676.8,389.4271811099,9846768924.63924,23161166.0
Perak,2019,21070.7209104421,7824.05505390701,28471.2873970551,20.0394656170629,371.323557801462,1.3512251203016727,8.398724852695352,20.9561938304968,not_available,,,,,,62.5,-6.7164179104477615,decreasing,not_flagged,monitor,no_pressure_signal,2.20883049475721,2508.8,274.805102586134,7824055053.90701,21070720.910442103
Perak,2020,13173.306,3317.0693364196,14045.532,-37.4805159444181,251.802344561008,1.0662116252366718,5.277766826923077,-57.6042178440041,not_available,,,,,,75.83333333333333,21.333333333333325,strongly_increasing,not_flagged,monitor,no_pressure_signal,1.8485066338042,2496.0,236.16544652204,3317069336.4196,13173306.0
Perak,2021,4489.273,1159.53265234848,4674.011,-65.9214399179674,258.289627819131,1.0411509836893411,1.7844315923364336,-65.0434605144533,not_available,,,,,,72.66666666666667,-4.175824175824164,stable,not_flagged,monitor,no_pressure_signal,2.29350409312326,2515.8,248.080856538094,1159532652.34848,4489273.0
Perak,2022,14566.727,4541.33101270089,17679.702,224.478529151602,311.760563145097,1.2137044924367704,5.793321269487751,291.651843827168,moderate_context,5424.153846153846,4254.153846153846,3605.769230769231,0.3620769230769231,9.661538461538465,76.41666666666667,5.160550458715596,increasing,not_flagged,positive_momentum,no_pressure_signal,2.42853989637977,2514.4,256.866943385182,4541331012.70089,14566727.0
Perak,2023,17107.518,5641.02361320425,18831.264,17.4424288997796,329.739452163911,1.100759560796604,6.732062804974029,24.2152046928051,not_available,,,,,,70.58333333333333,-7.633587786259553,decreasing,not_flagged,monitor,no_pressure_signal,2.3457677558445,2541.2,299.556291771187,5641023613.20425,17107518.0
Perak,2024,21776.217,7223.79803827434,23903.727,27.2903351614185,331.728786422102,1.0976987876268869,8.475214836148517,28.0582839852896,moderate_context,5722.5,4456.166666666667,3924.8333333333335,0.3513333333333333,8.975,68.08333333333333,-3.541912632821724,stable,not_flagged,monitor,no_pressure_signal,2.3549722911944,2569.4,302.203837848145,7223798038.27434,21776217.0
Perak,2025,23642.055,8018.53798306468,25696.5123230103,8.56823754098335,339.164170926118,1.0868984241433457,9.18566127904266,11.0016910852091,not_available,,,,,,61.75,-9.302325581395344,decreasing,not_flagged,monitor,no_pressure_signal,2.43937248808826,2573.8,312.04771613634,8018537983.06468,23642055.0
Perlis,2019,2087.37244564133,578.805530778065,2695.00103783132,-3.16099317725975,277.289053990664,1.2910973522999152,8.218001754493425,-6.15231493171819,not_available,,,,,,57.41666666666666,,not_available,not_available,insufficient_data,insufficient_data,2.55342085481156,254.0,214.770058583663,578805530.778065,2087372.4456413304
