state,year,tourism_receipts_rm_million,tourism_receipts_rm,tourism_receipts_growth_pct,domestic_visitors_000,domestic_visitors,domestic_visitors_growth_pct,tourism_trips_000,tourism_trips_growth_pct,avg_receipts_per_visitor_rm,avg_receipts_per_trip_rm,average_length_of_stay,population_000,tourism_intensity_visitors_per_resident
Perak,2021,1159.53265234848,1159532652.34848,-65.0434605144533,4489.273,4489273.0,-65.9214399179674,4674.011,-66.7224352911659,258.289627819131,248.080856538094,2.29350409312326,2515.8,1.7844315923364336
Perak,2022,4541.33101270089,4541331012.70089,291.651843827168,14566.727,14566727.0,224.478529151602,17679.702,278.255464097111,311.760563145097,256.866943385182,2.42853989637977,2514.4,5.793321269487751
Perak,2023,5641.02361320425,5641023613.20425,24.2152046928051,17107.518,17107518.0,17.4424288997796,18831.264,6.51346951436171,329.739452163911,299.556291771187,2.3457677558445,2541.2,6.732062804974029
Perak,2024,7223.79803827434,7223798038.27434,28.0582839852896,21776.217,21776217.0,27.2903351614185,23903.727,26.9363915242227,331.728786422102,302.203837848145,2.3549722911944,2569.4,8.475214836148517
Perak,2025,8018.53798306468,8018537983.06468,11.0016910852091,23642.055,23642055.0,8.56823754098335,25696.5123230103,7.50002425567486,339.164170926118,312.04771613634,2.43937248808826,2573.8,9.18566127904266
Perlis,2019,578.805530778065,578805530.778065,-6.15231493171819,2087.37244564133,2087372.4456413302,-3.16099317725975,2695.00103783132,-4.31037275023565,277.289053990664,214.770058583663,2.55342085481156,254.0,8.218001754493425
Perlis,2020,224.066307262435,224066307.262435,-61.2881537325271,1193.108,1193108.0,-42.8416331502629,1246.963,-53.7305187457947,187.800523726633,179.689619709996,2.4461569279846,284.9,4.187813267813268
Perlis,2021,78.0132972300273,78013297.2300273,-65.182941521567,406.796,406796.0,-65.9045115781639,426.818,-65.7713981890401,191.774986061877,182.778836014478,2.20914101234874,287.6,1.4144506258692626
Perlis,2022,455.618787502378,455618787.502378,484.027087278411,1669.175,1669175.0,310.322372884689,1799.569,321.62443945663,272.960466998594,253.182171676873,2.34666728507533,289.8,5.759748102139406
Perlis,2023,583.870113407444,583870113.407444,28.1488229684551,1950.771,1950771.0,16.87037009301,2139.229,18.8745193988116,299.302231480499,272.934834656525,2.20641466269676,293.1,6.655649948822926
Perlis,2024,1002.81372997629,1002813729.97629,71.75287909907,3225.428,3225428.0,65.3411907394564,3660.074,71.0931368263987,310.908732105101,273.987282764308,2.48663839005127,296.8,10.867345013477088
Perlis,2025,1211.20382670128,1211203826.7012799,20.7805388474205,3755.682,3755682.0,16.4398027176548,4335.24011103116,18.446788535728,322.499036580115,279.38563855306,2.24678266562286,297.0,12.645393939393939
Pulau Pinang,2019,6653.65601165969,6653656011.65969,7.93374298981246,15410.6252310139,15410625.231013902,6.6443003758152,21073.6211358388,8.79717706015066,431.757693923359,315.733872634929,2.50454943741912,1768.8,8.71247468962794
Pulau Pinang,2020,2427.15888222993,2427158882.22993,-63.5214252438563,8929.515,8929515.0,-42.0561147510788,9231.124,-56.1958339267042,271.813069604556,262.932106884268,2.03409916330196,1740.4,5.1307256952424725
Pulau Pinang,2021,1158.8101313766,1158810131.3766,-52.2565193461108,5060.864,5060864.0,-43.3243126866353,5160.445,-44.0973276927057,228.974762288929,224.556241056071,2.14043579846788,1740.0,2.908542528735632
Pulau Pinang,2022,3648.39930839687,3648399308.3968697,214.840128646682,10002.735,10002735.0,97.6487611601498,11705.595,126.833054126146,364.740174401988,311.679953765432,2.59063956089525,1740.9,5.745726348440462
Pulau Pinang,2023,5814.73535455749,5814735354.557489,59.3777123346875,13127.587,13127587.0,31.2399758666005,15350.976,31.1422101994815,442.940149972534,378.78603644208,2.40032874269824,1772.6,7.405837188310956
Pulau Pinang,2024,7424.29144738457,7424291447.38457,27.6806422766178,16604.803,16604803.0,26.4878534036758,19159.576,24.8101488791332,447.117105055963,387.497690313427,2.57711545505833,1800.5,9.222328797556234
Pulau Pinang,2025,8490.35816379311,8490358163.793109,14.3591711608263,17717.979,17717979.0,6.70393981789486,21626.7382034512,12.8769144131958,479.19450428252,392.586162736192,2.65290501816531,1804.3,9.819863104805188
Sabah,2019,8080.66670997202,8080666709.97202,7.63353520038148,22035.0674727792,22035067.4727792,8.22787900636166,31437.7299652782,11.0915085180936,366.718491783807,257.037219891411,2.78866164597109,3904.4,5.6436501057215445
Sabah,2020,2676.77169855219,2676771698.5521903,-66.8743707094255,10336.897,10336897.0,-53.0888797469325,10861.33,-65.4512904971322,258.953117028465,246.449716429957,1.96210740287431,3418.8,3.023545396045396
Sabah,2021,1052.02211208469,1052022112.08469,-60.6981009006593,3815.016,3815016.0,-63.0932184000673,4006.255,-63.1145080758986,275.758243762199,262.594895253719,2.31287857012766,3412.6,1.117920647014007
Sabah,2022,4825.8695952754,4825869595.275399,358.723209316622,12589.005,12589005.0,229.98564095144,17254.974,330.700841559012,383.340033249284,279.679911153468,3.0576352783597,3414.9,3.6864930159009046
Sabah,2023,6712.51460553787,6712514605.53787,39.0944051225405,16080.074,16080074.0,27.7310955075481,19900.312,15.3308721299725,417.443017086729,337.307003304163,2.67140939347793,3596.7,4.470785442210916
Sabah,2024,8634.24673303019,8634246733.03019,28.6290941684787,20591.813,20591813.0,28.0579492358057,24105.849,21.1330204270164,419.30483406343,358.180569911899,3.01161889379518,3742.0,5.502889631213255
Sabah,2025,9753.3273839687,9753327383.9687,12.9609528837934,22361.168,22361168.0,8.5925168415234,26440.7605734467,9.6860789821039,436.172537318655,368.874690910501,3.14553107015999,3754.5,5.955831135970169
Sarawak,2019,8670.74332850991,8670743328.50991,6.45730405363751,19793.3756868456,19793375.6868456,2.13178834070735,24880.0073570829,5.34825353191457,438.062888599258,348.502442305006,3.42690401258299,2806.0,7.053947144278546
Sarawak,2020,3384.67058146855,3384670581.46855,-60.9644703662308,9393.255,9393255.0,-52.5434410551676,11077.444,-55.4765244197307,360.329894319759,305.546169447442,2.55178605762645,2453.7,3.828200268981538
Sarawak,2021,1935.25867544385,1935258675.44385,-42.8228352253951,6510.9,6510900.0,-30.6853694486097,7137.26,-35.5694328041739,297.233665920817,271.148686673015,3.0323043039809,2465.6,2.6406959766385465
Sarawak,2022,5430.77227763946,5430772277.639461,180.622551731691,15464.621,15464621.0,137.518945153512,19290.587,170.280009415378,351.173965248774,281.524469817298,3.51641852644725,2473.5,6.252120881342227
Sarawak,2023,6942.67318117489,6942673181.17489,27.8395194318955,17901.19,17901190.0,15.7557627826767,21076.631,9.25862961038979,387.833053622407,329.401467491407,3.4815000820848,2502.3,7.153894417136233
Sarawak,2024,7956.67071248269,7956670712.48269,14.6052897039322,19625.552,19625552.0,9.63266687857065,23362.065,10.8434502648929,405.424046797904,340.580796795262,3.09151608473914,2517.5,7.795651241310824
Sarawak,2025,9138.37553459759,9138375534.59759,14.8517497432815,22721.527,22721527.0,15.775225073924,26387.9678248999,12.9522061722707,402.19020203165,346.308423416166,3.10314238263994,2528.9,8.984747123255168
Selangor,2019,15544.408509962,15544408509.962,17.8558753116377,33588.5269586995,33588526.958699495,11.2975062849403,45766.3686716109,10.5783237549931,462.789229461461,339.646971371017,2.23511176713951,6506.1,5.162620764928221
Selangor,2020,7051.46346613165,7051463466.13165,-54.6366562509435,19714.734,19714734.0,-41.3051545123093,21897.63,-52.1534466561617,357.674796227616,322.019481840348,1.64066150657808,6994.4,2.8186454878188267
Selangor,2021,3158.5633823777,3158563382.3777,-55.2069808267694,10211.58,10211580.0,-48.2033082465125,11319.209,-48.3085201457875,309.311916704143,279.044532385408,1.83160904055607,7014.7,1.455740088670934
Selangor,2022,8734.80808554066,8734808085.54066,176.543701300218,21989.558,21989558.0,115.339428374453,25987.93,129.59139635994,397.225268718028,336.110189828149,2.32250757479501,7050.3,3.118953519708381
Selangor,2023,11102.7131520834,11102713152.083399,27.1088390649647,27579.478,27579478.0,25.4207929054326,28949.304,11.3951899978182,402.571548021446,383.522628111661,2.24207367577779,7209.7,3.8253294866638003
Selangor,2024,14226.1256382058,14226125638.2058,28.1319749806947,34460.8280456694,34460828.0456694,24.9509800209757,37022.639,27.887837994309,412.820191649269,384.254770120676,2.24075512447905,7362.7,4.680460706761025
Selangor,2025,15761.7254823629,15761725482.3629,10.7942238330377,36376.442,36376442.0,5.55881580033981,40803.4992333148,10.2122926280722,433.294863812215,386.283671217442,2.31387210011661,7408.7,4.909962881477183
Terengganu,2019,5990.01250659243,5990012506.59243,7.24527463386333,14158.2836313106,14158283.6313106,3.02653310223866,24902.0224648954,9.93586958335055,423.074764044543,240.54321350953,2.5783696197242,1244.5,11.376684316039052
Terengganu,2020,2254.5058315233,2254505831.5233,-62.3622516807426,7419.729,7419729.0,-47.5944316895058,10084.391,-59.50372699962,303.852853860741,223.563905001631,2.0600272733523,1149.4,6.455306246737428
