state,year,domestic_visitors_000,tourism_receipts_rm_million,tourism_growth_pct,tourism_value_growth_pct,tourism_intensity,google_search_interest,search_interest_growth_pct
Sarawak,2023,17901.19,6942.67318117489,15.7557627826767,27.8395194318955,7.153894417136233,52.166666666666664,-4.863221884498489
Sarawak,2024,19625.552,7956.67071248269,9.63266687857065,14.6052897039322,7.795651241310824,48.166666666666664,-7.667731629392971
Sarawak,2025,22721.527,9138.37553459759,15.775225073924,14.8517497432815,8.984747123255168,47.166666666666664,-2.0761245674740487
Selangor,2019,33588.5269586995,15544.408509962,11.2975062849403,17.8558753116377,5.162620764928221,34.666666666666664,-15.44715447154472
Selangor,2020,19714.734,7051.46346613165,-41.3051545123093,-54.6366562509435,2.8186454878188267,43.75,26.201923076923084
Selangor,2021,10211.58,3158.5633823777,-48.2033082465125,-55.2069808267694,1.455740088670934,55.833333333333336,27.619047619047628
Selangor,2022,21989.558,8734.80808554066,115.339428374453,176.543701300218,3.118953519708381,52.0,-6.8656716417910495
Selangor,2023,27579.478,11102.7131520834,25.4207929054326,27.1088390649647,3.8253294866638,55.166666666666664,6.089743589743586
Selangor,2024,34460.8280456694,14226.1256382058,24.9509800209757,28.1319749806947,4.680460706761025,41.5,-24.773413897280964
Selangor,2025,36376.442,15761.7254823629,5.55881580033981,10.7942238330377,4.909962881477183,39.833333333333336,-4.016064257028107
Terengganu,2019,14158.2836313106,5990.01250659243,3.02653310223866,7.24527463386333,11.376684316039052,40.25,15.0
Terengganu,2020,7419.729,2254.5058315233,-47.5944316895058,-62.3622516807426,6.455306246737428,55.5,37.88819875776397
Terengganu,2021,3719.052,984.111528570248,-49.8761747228234,-56.3491247256915,3.176776287691125,59.583333333333336,7.357357357357362
